"Date","VALFN","VIRG251LFN","BLAC951LFN","CHAR851LFN","HARR551LFN","LYNC351LFN","RICH051LFN","ROAN251LFN","WINC051LFN","WASH911LFN","staunton"
"01/01/2005","3800512","769641","80670","101494","60912","114306","580583","146161","59897","2850597","56349.0"
"02/01/2005","3818079","773156","83616","101744","61194","114699","583697","146527","59908","2858253","56298.0"
"03/01/2005","3846701","780985","83865","102422","61689","115636","587570","147597","60320","2868951","57035.0"
"04/01/2005","3880732","788350","84869","104797","61765","116157","593398","148255","61099","2877495","57394.0"
"05/01/2005","3907807","797663","83902","104500","60569","115786","597160","149411","61552","2898532","57566.0"
"06/01/2005","3934346","805963","82576","105441","60572","116306","599453","150154","62350","2927556","57828.0"
"07/01/2005","3966389","812940","83926","104699","61445","117275","601723","151795","61200","2962843","58299.0"
"08/01/2005","3938270","809054","84015","103215","60761","116605","594180","150792","60662","2934461","57794.0"
"09/01/2005","3918724","799302","84546","105829","60824","117426","592771","150274","60827","2912255","57167.0"
"10/01/2005","3928156","793103","86246","104471","61628","118200","597037","150942","63377","2922390","57711.0"
"11/01/2005","3915356","790162","84720","103841","61688","118301","594659","150792","63213","2920200","57323.0"
"12/01/2005","3909434","787059","82501","103956","61322","117815","592987","150516","62713","2919992","57152.0"
"01/01/2006","3902608","784858","81646","105328","61851","117201","593731","150472","62919","2914627","56992.0"
"02/01/2006","3919230","787732","84976","106024","62973","117652","595321","151482","63009","2922155","57471.0"
"03/01/2006","3946069","794864","85322","106196","63012","118413","601048","152460","63471","2935567","57678.0"
"04/01/2006","3952530","798206","86055","108798","63692","118751","600652","152106","64080","2930975","58021.0"
"05/01/2006","3977626","805651","84828","108594","62982","118427","605648","152840","64803","2949560","57984.0"
"06/01/2006","4012608","815107","83460","109361","63654","119523","608656","154822","65623","2986936","58500.0"
"07/01/2006","4035519","818204","83513","108377","64643","120552","616402","154929","65911","3012483","58572.0"
"08/01/2006","4004958","813726","82673","106959","63092","119458","611307","153984","65302","2982769","58074.0"
"09/01/2006","3985023","804312","83439","109834","64191","119963","605266","153536","64964","2965489","57831.0"
"10/01/2006","4000897","806191","85704","109715","65302","120117","612152","153857","64942","2975693","57962.0"
"11/01/2006","4001706","805246","85093","110407","65180","120376","610531","154515","65025","2975858","58191.0"
"12/01/2006","4004916","803923","85633","110439","65407","120388","609687","154628","65055","2975928","58200.0"
"01/01/2007","3990065","800067","83204","109474","64595","120046","608788","153804","64965","2965810","58443.0"
"02/01/2007","3991132","799263","85901","110371","64498","119749","611499","153320","64435","2963482","58382.0"
"03/01/2007","4017500","807240","86240","111969","64698","120507","612840","154740","64845","2975665","58764.0"
"04/01/2007","4006092","806487","85905","111673","64590","120145","609466","153658","64856","2966277","58593.0"
"05/01/2007","4029767","813234","84415","112264","63656","120696","613718","154817","65371","2978277","58673.0"
"06/01/2007","4064778","823185","83537","111813","64090","120984","620049","156052","66051","3012562","59047.0"
"07/01/2007","4091115","836376","83591","111689","63631","121897","622743","156500","66027","3043684","59339.0"
"08/01/2007","4039095","825473","83363","109610","62199","120799","615992","154831","65378","2999880","58566.0"
"09/01/2007","4042736","820749","84919","111884","63793","121667","615209","154992","65371","2992021","58928.0"
"10/01/2007","4047244","811123","86176","112899","65050","121548","616856","155478","64580","3006745","59215.0"
"11/01/2007","4065754","815373","86226","113515","65533","122665","618140","156277","64952","3014077","59514.0"
"12/01/2007","4056745","811725","86586","113157","65177","122607","617115","155573","64882","3008319","59124.0"
"01/01/2008","4071690","810332","85322","112179","65575","123674","622167","156094","64916","3012380","59732.0"
"02/01/2008","4067528","811635","85117","113630","64874","123330","621692","155891","64430","3009740","59641.0"
"03/01/2008","4103993","820383","85752","114965","65557","124097","626587","157167","64717","3028689","60184.0"
"04/01/2008","4124861","823331","88802","115518","65568","124086","629918","157338","64932","3038947","60505.0"
"05/01/2008","4147647","832930","86429","115902","64183","124424","630493","158541","65376","3055542","60543.0"
"06/01/2008","4174547","841169","87778","115446","65339","125311","634356","159370","66028","3080811","60811.0"
"07/01/2008","4201854","849522","86615","115050","65144","126507","638233","159208","66389","3123947","60802.0"
"08/01/2008","4156246","840990","86968","112545","64090","125200","631509","158207","65823","3085164","60063.0"
"09/01/2008","4139951","828366","89443","114656","65651","125436","629169","158234","64934","3063147","60180.0"
"10/01/2008","4154363","826459","90239","115436","65742","125952","634494","158806","65502","3076002","60056.0"
"11/01/2008","4137943","822142","89121","115174","65695","126310","631703","158542","65379","3066748","60007.0"
"12/01/2008","4120692","816875","89045","114370","65583","125353","628321","157658","64751","3059966","59721.0"
"01/01/2009","4110436","811534","85304","113131","65490","123501","625783","156082","64348","3054797","61835.0"
"02/01/2009","4114098","811951","88561","114035","65580","122512","625547","156376","64852","3059813","61834.0"
"03/01/2009","4121181","814198","88948","115111","65226","122926","626819","155986","64559","3062692","61536.0"
"04/01/2009","4135498","819144","89722","114952","65532","123102","627293","156046","64562","3062688","61497.0"
"05/01/2009","4148493","824298","87804","115819","64582","123085","628070","156910","64788","3073571","61712.0"
"06/01/2009","4163186","831098","85996","114978","64712","123395","629875","157653","65107","3100838","61436.0"
"07/01/2009","4177294","833174","86582","114015","64701","123612","628223","157117","65253","3136267","62141.0"
"08/01/2009","4125980","825006","85936","111698","62882","121977","620466","155762","64299","3091268","61379.0"
"09/01/2009","4089167","812544","88170","112754","64163","122112","616184","154881","63925","3060412","59878.0"
"10/01/2009","4086254","810148","87472","113640","64761","121094","616447","154531","63875","3073711","59610.0"
"11/01/2009","4087097","806997","86257","113575","64921","121346","616606","154751","64013","3079763","59914.0"
"12/01/2009","4059359","801224","85191","111977","64480","120797","611814","153502","63328","3064618","59530.0"
"01/01/2010","4083205","817112","85983","108078","62880","124567","619572","156866","64075","3097569","58505.0"
"02/01/2010","4093421","820657","89294","110206","63223","124593","619987","157534","64131","3094171","58605.0"
